600242,20001207,ST中昌,1
600243,20001120,青海华鼎,
600246,20000922,万通发展,
600248,20000622,陕西建工,
600249,20040130,两面针,
600250,20010306,南纺股份,
600251,20030609,冠农股份,
600252,20001130,中恒集团,
600255,20001122,鑫科材料,
600256,20000526,广汇能源,
600257,20000612,大湖股份,
600258,20000601,首旅酒店,
600259,20000525,广晟有色,
600260,20000706,ST凯乐,1
600261,20000720,阳光照明,
600262,20000630,北方股份,
600265,20000825,*ST景谷,
600266,19990203,城建发展,
600267,20000725,海正药业,
600268,19991118,国电南自,
600269,20000518,赣粤高速,
600271,20030711,航天信息,
600272,19970108,开开实业,
600273,20030627,嘉化能源,
600275,20000810,*ST昌鱼,1
600276,20001018,恒瑞医药,
600277,20000725,亿利洁能,
600278,20000712,东方创业,
600279,20000731,重庆港九,
600280,20000926,中央商场,
600281,20001109,华阳新材,
600282,20000919,南钢股份,
600283,20001018,钱江水利,
600284,20040316,浦东建设,
600285,20001018,羚锐制药,
600287,20000901,江苏舜天,
600288,20001129,大恒科技,
600289,20000720,ST信通,
600290,20001106,ST华仪,
600291,20000731,*ST西水,1
600292,20001101,远达环保,
600293,20000919,三峡新材,
600295,19951020,鄂尔多斯,
600297,20001116,广汇汽车,
600298,20000818,安琪酵母,
600299,20000420,安迪苏,
600300,20000630,ST维维,
600301,20000712,*ST南化,
600302,20001213,标准股份,
600303,20001226,曙光股份,
600305,20010206,恒顺醋业,
600306,20001226,*ST商城,
600307,20001220,酒钢宏兴,
600308,20000928,华泰股份,
600309,20000105,万华化学,
600310,20010228,桂东电力,
600311,20010626,ST荣华,1
600312,20010221,平高电气,
600313,20010119,农发种业,
600315,20010315,上海家化,
600316,20001215,洪都航空,
600318,20001208,新力金融,
600319,20010326,*ST亚星,
600320,20001221,振华重工,
600321,20010524,正源股份,
600322,20010910,天房发展,
600323,20001225,瀚蓝环境,
600325,20040225,华发股份,
600326,20010116,西藏天路,
600327,20020625,大东方,
600328,20001222,中盐化工,
600329,20010606,中新药业,
600330,20010118,天通股份,
600331,20011220,宏达股份,
600332,20010206,白云山,
600333,20001211,长春燃气,
600335,20010305,国机汽车,
600336,20001229,澳柯玛,
600337,20001127,美克家居,
600338,20001227,西藏珠峰,
600339,20001225,中油工程,
600340,20031230,华夏幸福,
600343,20030408,航天动力,
600345,20001222,长江通信,
600346,20010820,恒力石化,
600348,20030821,华阳股份,
600350,20020318,山东高速,
600351,20020926,亚宝药业,
600352,20030801,浙江龙盛,
600353,20021120,旭光电子,
600354,20040115,敦煌种业,
600355,20020613,精伦电子,
600356,20010419,恒丰纸业,
600358,20000922,国旅联合,
600359,19990429,新农开发,
600360,20010316,华微电子,
600361,20011129,华联综超,
600362,20020111,江西铜业,
600363,20010329,联创光电,
600365,20010115,ST通葡,
600366,20001030,宁波韵升,
600367,20010320,红星发展,
600368,20001221,五洲交通,
600369,20010109,西南证券,
600370,20030306,三房巷,
600371,20020916,万向德农,
600372,20010706,中航电子,
600373,20020304,中文传媒,
600375,20030401,汉马科技,
600376,20010312,首开股份,
600377,20010116,宁沪高速,
600378,20010111,昊华科技,
600379,20020116,宝光股份,
600380,20010608,健康元,
600381,20010508,青海春天,
600382,20010118,*ST广珠,
600383,20010412,金地集团,
600385,20010723,*ST金泰,1
600386,20010216,北巴传媒,
600387,20040218,ST海越,
600388,20001229,龙净环保,
600389,20010110,江山股份,
600390,20010115,五矿资本,
600391,20011212,航发科技,
600392,20030529,盛和资源,
600393,20010319,ST粤泰,1
600395,20010531,盘江股份,
600396,20010328,金山股份,
600397,20020702,安源煤业,
600398,20001228,海澜之家,
600399,20001229,抚顺特钢,
