名称	代码	最新价	日涨幅	溢价率	日均成交（万）	近一月	年初至今	近一年	近三年	近五年	规模（亿）	运作费率	跟踪指数	上市日期	基金公司	分类
创新药指ETF	159858	0.859	-0.0183	0	1187.28	0.2133	-0.1071	-0.2405	-	-	0.881	0.002	CS创新药指数	44280	南方基金	行业，医药
智能消费ETF	515920	0.765	-0.0078	-0.0026	1191.89	0.0465	-0.2226	-0.235	-	-	2.39	0.006	CS智消费指数	44216	博时基金	行业，消费
新能源主题ETF	516580	1.048	-0.0066	-0.001	1221.11	0.2018	-0.0057	-	-	-	1.36	0.006	中证新能指数	44403	博时基金	主题，新兴产业，新能源
恒生科技基金ETF	513380	1.158	-0.0285	-0.0017	1247.3	0.0843	-	-	-	-	2.17	0.006	恒生科技指数	44693	广发基金	跨境，香港，科技
180ESGETF	510990	0.907	-0.012	-0.0022	1189.55	0.0658	-0.0829	-0.0764	-	-	0.677	0.0055	180ESG指数	44378	工银瑞信基金	主题，ESG
300ESGETF	516830	0.86	-0.0149	-0.0012	1212.58	0.079	-0.0985	-0.1179	-	-	2.86	0.006	300ESG指数	44382	富国基金	主题，ESG
消费电子龙头ETF	561100	0.803	0.0038	0	1188.15	0.0101	-	-	-	-	1.77	0.006	消费电子指数	44600	富国基金	主题，消费电子
泰康中证500ETF	515530	3.336	-0.0121	0	1148.06	0.0648	-0.1135	-0.0268	-	-	0.474	0.0045	中证500指数	44144	泰康资产	宽基，中小盘
港股通50ETF	159712	0.918	-0.0203	-0.0086	1124.68	0.02	-0.0316	-	-	-	0.845	0.006	港股通50港元指数	44511	国泰基金	跨境，香港
医疗器械ETF基金	159797	1.07	-0.0138	-0.0019	1059.92	0.0852	-	-	-	-	2.85	0.002	医疗器械指数	44697	汇添富基金	行业，医药，医疗器械
沪港深云计算ETF	159738	0.796	-0.0149	-0.0025	1098.39	0.0378	-	-	-	-	0.996	0.006	SHS云计算人民币指数	44589	华泰柏瑞基金	跨境，香港，云计算
民生加银300ETF	515350	5.381	-0.0103	0.0013	1032.25	0.0904	-0.0901	-0.0797	-	-	1.51	0.002	沪深300指数	43868	民生加银基金	宽基，大盘股
创业板ETF博时	159908	2.53	-0.0075	0	1034.95	0.1407	-0.1502	-0.1496	0.8909	0.8782	6.69	0.006	创业板指	40737	博时基金	宽基，中小盘
中证银行ETF	512730	1.131	-0.0148	0.0009	976.98	0.0329	-0.0114	-0.0668	-	-	1.99	0.004	中证银行指数	43868	鹏华基金	行业，金融，银行
医疗设备ETF	159873	0.825	-0.0179	0.0012	1035.02	0.1194	-0.1343	-0.3411	-	-	1.43	0.006	医疗保健指数	44284	天弘基金	行业，医药，医疗保健
MSCIA股ETF	512990	1.696	-0.0174	-0.0012	908.27	0.0851	-0.093	-0.0778	0.4799	0.5747	2.93	0.006	MSCI中国A股国际通指数	42088	华夏基金	MSCI
深100ETF招商	159975	0.682	-0.0116	-0.0015	948.98	0.118	-0.112	-0.1062	-	-	1.08	0.003	深证100指数	43832	招商基金	宽基，大盘股
银行股ETF	516210	0.954	-0.0124	0	885.35	0.0269	-0.0155	-	-	-	0.492	0.006	中证银行指数	44463	华安基金	行业，金融，银行
一带一路ETF	515150	1.235	-0.0222	0.0008	926.33	0.0511	-0.05	-0.0032	-	-	7.41	0.002	国企带路指数	43845	富国基金	主题，国企，一带一路
食品ETF	159862	0.955	-0.0205	0.001	858.7	0.1131	-0.071	-	-	-	0.548	0.006	细分食品指数	44508	银华基金	行业，食品饮料
沪港深500ETF基金	517080	0.799	-0.0172	-0.0075	862.6	0.0527	-0.0774	-0.1418	-	-	5.68	0.002	沪港深500人民币指数	44249	汇添富基金	宽基，大盘股
物联网50ETF	159895	0.825	-0.0024	0	897.91	0.0086	-0.2452	-	-	-	0.35	0.002	CS物联网指数	44490	易方达基金	主题，物联网
物联网龙头ETF	159896	0.765	-0.0026	-0.0013	909.97	0.0106	-0.2433	-	-	-	0.964	0.006	CS物联网指数	44524	南方基金	主题，物联网
港股医药ETF	159718	0.889	0.0034	-0.0034	904.29	0.2468	-0.0901	-	-	-	0.579	0.006	HKC医药C人民币指数	44558	平安基金	跨境，香港，医药
物联网沪港深ETF	517660	0.84	-0.0071	-0.0036	906.71	0.05	-0.1667	-	-	-	0.283	0.006	SHS物联网指数	44494	天弘基金	跨境，香港，物联网
中证500ETF天弘	159820	1.021	-0.0135	0	760.36	0.0635	-0.1153	-0.0211	-	-	22.34	0.006	中证500指数	44067	天弘基金	宽基，中小盘
MSCI中国招商ETF	515160	1.371	-0.0158	-0.0015	789.58	0.0872	-0.089	-0.0749	-	-	6.68	0.006	MSCI中国A股国际通指数	43892	招商基金	MSCI
金融地产ETF	510650	1.978	-0.0149	-0.002	848.99	0.0455	-0.0612	-0.0727	0.0025	0.2165	0.735	0.006	上证金融指数	41402	华夏基金	行业，金融
人工智能AIETF	515070	0.981	-0.0041	-0.002	754.55	0.0403	-0.2534	-0.2245	-	-	7.39	0.006	CS人工智能指数	43823	华夏基金	主题，新兴产业，人工智能
医药ETF基金	159838	0.814	-0.0181	0.0087	814.17	0.1831	-0.1094	-	-	-	1.26	0.006	医药50指数	44407	博时基金	行业，医药
互联网50ETF	517050	0.608	-0.0146	-0.0033	795.17	0.0648	-0.2	-0.3043	-	-	6.18	0.006	SHS互联网人民币指数	44235	华泰柏瑞基金	主题，互联网
消费电子50ETF	562950	0.765	0.0039	-0.0013	755.12	0.0106	-	-	-	-	0.925	0.002	消费电子指数	44581	易方达基金	主题，消费电子
云计算沪港深ETF	517390	0.748	-0.0066	0.0013	779.6	0.0403	-0.252	-	-	-	0.748	0.006	SHS云计算人民币指数	44553	天弘基金	跨境，香港，云计算
平安中证500ETF	510590	6.523	-0.0139	0	717.83	0.0608	-0.1197	-0.0201	0.3898	-	7.09	0.006	中证500指数	43224	平安基金	宽基，中小盘
公司债ETF	511030	10.327	0.0004	0	694.9	-0.0015	0.0044	0.0258	0.1022	-	52.63	0.0033	中债-中高等级公司债利差因子全价(总值)指数	43546	平安基金	债券，公司债，信用债
生物科技ETF基金	516930	0.763	-0.0168	0	720.42	0.1903	-0.12	-	-	-	0.874	0.006	中证生科指数	44426	民生加银基金	主题，新兴产业，生物科技
创新药产业ETF	516060	0.763	-0.0142	0.0013	723.25	0.2111	-0.1076	-0.2408	-	-	1	0.0052	CS创新药指数	44256	工银瑞信基金	行业，医药
云计算ETF	159890	0.768	-0.0078	-0.0013	661.72	0.024	-0.2748	-0.2713	-	-	0.466	0.0025	云计算指数	44288	招商基金	主题，TMT，互联网
新能源80ETF	516850	1.608	-0.0068	0	740.29	0.2045	-0.0043	0.2163	-	-	0.792	0.006	中证新能指数	44274	华夏基金	主题，新兴产业，新能源
有色龙头ETF	159876	1.354	-0.0124	0.0074	713.65	0.1331	-0.0022	0.1723	-	-	0.451	0.006	中证有色指数	44279	华宝基金	行业，资源，有色金属
港股科技ETF	159751	0.858	-0.0104	-0.0035	748.66	0.1143	-0.128	-	-	-	0.899	0.0075	HKC科技港币指数	44558	鹏华基金	跨境，香港，科技
申万上证50ETF	510600	3.586	-0.0183	-0.0017	638.76	0.0801	-0.0746	-0.0812	0.2013	-	0.479	0.006	上证50指数	43363	申万菱信基金	宽基，大盘股
深证100ETF华安	159706	0.869	-0.0114	-0.0023	568.76	0.1141	-0.1151	-	-	-	1.11	0.002	深证100指数	44550	华安基金	宽基，大盘股
上海国企ETF	510810	0.813	-0.0133	-0.0012	561.42	0.0074	-0.0947	-0.0751	-0.154	-0.184	68.43	0.0055	上海国企指数	42611	汇添富基金	主题，国企，区域
中证800ETF	515810	1.314	-0.015	-0.0008	587.87	0.0824	-0.1018	-0.09	-	-	0.863	0.002	中证800指数	43763	易方达基金	宽基，综合
科技创新ETF	159987	1.555	-0.0013	0.0019	620.26	0.0867	-0.1563	-0.1375	-	-	0.72	0.0038	创新100指数	43787	银华基金	主题，新兴产业，科技
生物科技ETF招商	159849	0.759	-0.0194	0	610.18	0.1953	-0.1164	-0.2566	-	-	1.21	0.006	中证生科指数	44257	招商基金	主题，新兴产业，生物科技
先进制造ETF	515870	1.242	-0.0119	0	574.42	0.0597	-0.1434	-0.0562	-	-	0.421	0.006	先进制造100指数	43847	嘉实基金	策略，价值
0-4地债ETF	159816	103.64	0.0003	-0.0055	620.49	0.0015	0.0179	0.0323	-	-	17.1	0.002	0-4年地债指数	44078	鹏华基金	债券，利率债，地方政府债
智能电动车ETF	516380	1.121	-0.0018	-0.0018	555.99	0.1533	-0.0834	0.0099	-	-	1.5	0.006	智能电车指数	44365	华宝基金	主题，智能汽车
物流快递ETF	516530	0.917	-0.0276	-0.0022	572.92	-0.0448	-	-	-	-	1.02	0.006	CS物流指数	44578	银华基金	行业，物流
新材料50ETF	516710	0.965	-0.0143	-0.001	567.56	0.1768	-0.0041	-	-	-	1.32	0.006	新材料指数	44425	华夏基金	主题，新兴产业，新材料
漂亮50ETF	561500	0.805	-0.0242	-0.0012	608.63	0.1073	-0.1016	-0.1615	-	-	1.15	0.006	企业核心竞争力50指数	44375	华泰柏瑞基金	主题，ESG
创科技ETF	159773	0.82	-0.0073	-0.0012	637.54	0.0832	-0.2123	-	-	-	0.751	0.006	创科技指数	44477	华泰柏瑞基金	主题，新兴产业，科技
浦银创业板ETF	159810	1.098	-0.0054	-0.0009	458.93	0.1285	-0.1682	-0.1713	-	-	0.936	0.002	创业板指	44022	浦银安盛基金	宽基，中小盘
景顺MSCIA股ETF	512280	1.616	-0.0146	-0.0019	546.32	0.0853	-0.0891	-0.046	0.5449	-	1.37	0.006	MSCI中国A股国际通指数	43245	景顺长城基金	MSCI
人工智能ETF	515980	0.854	-0.0023	0.0012	517.97	0.0427	-0.2793	-0.2775	-	-	2.93	0.006	人工智能指数	43871	华富基金	主题，新兴产业，人工智能
医疗器械ETF招商	159898	0.702	-0.0168	0	505.51	0.1003	-0.1429	-0.2959	-	-	1.61	0.006	医疗器械指数	44351	招商基金	行业，医药，医疗器械
智慧电车ETF	560000	1.003	-0.002	-0.003	513.79	0.145	-0.0807	-	-	-	0.19	0.006	智能电车指数	44469	浦银安盛基金	主题，智能汽车
科技龙头ETF	159723	0.774	-0.0178	-0.0051	513.02	0.0676	-0.1861	-	-	-	0.517	0.002	SHS科技龙头指数	44484	汇添富基金	主题，新兴产业，科技
新材料ETF平安	516890	1.003	-0.0099	-0.003	478.82	0.1704	-0.0186	-	-	-	0.559	0.006	新材料指数	44405	平安基金	主题，新兴产业，新材料
沪深300ESGETF	561900	0.874	-0.0113	0	462.44	0.083	-0.0943	-	-	-	0.721	0.006	300ESG指数	44392	招商基金	主题，ESG
共赢ETF	517090	1.051	-0.0178	0.0019	541.64	0.0029	0.0616	-	-	-	0.586	0.003	富时中国国企开放共赢指数	44558	国泰基金	主题，国企
工银中证500ETF	510530	6.544	-0.0059	0	374.82	0.0589	-0.1197	-0.0331	-	-	2.56	0.0052	中证500指数	43833	工银瑞信基金	宽基，中小盘
创业板ETF工银	159958	1.636	0.0012	0.0018	389.32	0.1449	-0.1558	-0.1576	0.8158	-	2.19	0.006	创业板指	43119	工银瑞信基金	宽基，中小盘
可持续发展ETF	515090	1.295	0.0086	0.0205	351.28	0.1087	-0.0575	-0.063	-	-	1.47	0.006	持续发展指数	43881	博时基金	主题，ESG
创新药企ETF	560900	1.195	-0.0157	0.0008	371.6	0.2059	-	-	-	-	2.09	0.004	CS创新药指数	44714	上投摩根基金	行业，医药
新经济ETF	159822	0.714	-0.007	-0.0138	445.32	0.1121	-0.0455	-0.2874	-	-	2.5	0.0035	标普新中国行业指数	44127	银华基金	跨境，新兴产业
消费服务ETF	516600	0.7	-0.021	0	397.7	0.1094	-0.1228	-0.2135	-	-	1.17	0.0052	消费服务全收益指数	44253	工银瑞信基金	主题，消费服务
沪港深500ETF	517000	0.801	-0.0148	-0.0012	436.87	0.0609	-0.074	-0.1359	-	-	6.14	0.006	沪港深500人民币指数	44260	银华基金	宽基，大盘股
科技AHETF	517960	0.877	-0.0135	0.0011	398.73	0.0592	-0.1308	-	-	-	1.76	0.004	SHS科技100人民币指数	44553	上投摩根基金	主题，新兴产业，科技
消费TOPETF	517760	1.083	-0.0234	-0.0073	386.56	0.0863	-	-	-	-	2.51	0.006	SHS消费龙头人民币指数	44670	浦银安盛基金	跨境，香港，消费
方正沪深300ETF	515360	5.618	-0.0072	0.0101	335.2	0.0973	-0.0825	-0.0668	-	-	1.54	0.006	沪深300指数	43770	方正富邦基金	宽基，大盘股
MSCIETF	512520	1.267	-0.014	-0.0031	339.06	0.0829	-0.0908	-0.0704	0.5359	-	5.69	0.002	MSCI中国A股国际通指数	43238	华泰柏瑞基金	MSCI
深100ETF银华	159969	1.475	-0.0114	-0.0014	330.83	0.1124	-0.1231	-0.1384	-	-	0.299	0.003	深证100指数	43705	银华基金	宽基，大盘股
日经225ETF	513880	0.938	-0.0074	-0.0011	285.49	-0.0804	-0.1815	-0.2098	-0.0554	-	0.497	0.0025	日经225指数	43641	华安基金	跨境，日本
央企创新ETF	159974	1.301	-0.0159	-0.0008	332.77	0.0236	-0.087	0.1264	-	-	5.37	0.002	央企创新指数	43817	富国基金	主题，央企
科技ETF基金	515860	1.185	-0.0141	-0.0017	324.51	0.0524	-0.2126	-0.2325	-	-	2.25	0.006	新兴科技100指数	43760	嘉实基金	主题，新兴产业，科技
湾创ETF	159976	1.059	-0.0121	-0.0019	267.07	0.0527	-0.1334	-0.1822	-	-	1.23	0.003	湾创100指数	43847	工银瑞信基金	主题，区域，大湾区
科技100ETF	159853	0.915	-0.0151	-0.0022	294.03	0.0867	-0.1606	-	-	-	0.286	0.002	科技100指数	44484	南方基金	主题，新兴产业，科技
上证券商ETF	510200	1.021	-0.0087	0	260.92	0.0702	-0.1961	-0.0981	-	-	0.738	0.006	上证证券指数	43959	汇安基金	行业，金融，证券
法国CAC40ETF	513080	1.066	-0.0283	0.0172	299.7	-0.1004	-0.1831	-0.1672	-	-	0.597	0.0065	法国CAC40指数	43994	华安基金	跨境，法国
港股通ETF	513990	0.847	-0.0163	-0.0024	286.95	0.0193	-0.0504	-0.2039	-	-	0.594	0.0025	港股通指数	44061	招商基金	跨境，香港
云计算50ETF	516630	0.745	-0.0106	-0.0027	346.12	0.0192	-0.2753	-	-	-	0.76	0.006	云计算指数	44442	华夏基金	主题，TMT，互联网
互联网ETF	517200	0.579	-0.0153	0.0017	273	0.0702	-0.2014	-0.3212	-	-	1.71	0.006	SHS互联网人民币指数	44235	嘉实基金	主题，互联网
医疗ETF基金	159891	0.664	-0.0178	-0.0015	309.05	0.1085	-0.1377	-0.3419	-	-	1.4	0.006	医疗保健指数	44362	建信基金	行业，医药，医疗保健
沪港深科技TOPETF	517270	0.833	-0.0269	-0.0142	346.15	0.0558	-	-	-	-	0.362	0.006	SHS科技龙头指数	44573	浦银安盛基金	主题，新兴产业，科技
石化ETF	159731	0.943	-0.0238	0.0011	253.31	0.0978	-0.0407	-	-	-	0.156	0.006	石化产业指数	44540	华夏基金	行业，化工，石油化工
300ESGETF	159791	1.004	-0.0108	-0.001	320.16	0.0807	-	-	-	-	2.91	0.006	300ESG指数	44628	华夏基金	主题，ESG
上海金基金ETF	159833	3.755	-0.0214	-0.0037	293.29	-0.0406	-	-	-	-	2.12	0.006	上海金	44649	大成基金	商品，黄金
医药ETF沪港深	517990	1.171	-0.0209	-0.011	313.28	0.1793	-	-	-	-	2.27	0.006	沪港深500医药人民币指数	44700	招商基金	跨境，香港，医药
创业板ETF华夏	159957	1.771	-0.0056	-0.0011	225.08	0.1448	-0.1538	-0.1486	0.9271	-	3.36	0.006	创业板指	43104	华夏基金	宽基，中小盘
MSCIA股ETF基金	512180	1.534	-0.0141	-0.0032	210.72	0.0903	-0.0858	-0.0413	0.4651	-	1.53	0.006	MSCI中国A股国际通指数	43241	建信基金	MSCI
创业板ETF融通	159808	1.05	-0.0076	0	226.71	0.1413	-0.158	-0.1647	-	-	0.91	0.004	创业板R指数	44078	融通基金	宽基，中小盘
长三角ETF	512650	1.089	-0.0154	-0.0027	216.14	0.0697	-0.1472	-0.1662	-	-	4.91	0.002	CS长三角指数	43763	汇添富基金	主题，区域，长三角
A800ETF	515820	1.313	-0.0098	0.0008	191.18	0.0824	-0.097	-0.0451	-	-	1.66	0.002	中证800指数	43980	富国基金	宽基，综合
深100ETF工银	159970	5.804	-0.0139	-0.0031	154.86	0.1081	-0.1205	-0.1433	-	-	0.353	0.0055	深证100R指数	43840	工银瑞信基金	宽基，大盘股
大数据50ETF	516000	0.773	-0.0128	-0.0064	182.01	0.0474	-0.2617	-0.2223	-	-	0.578	0.006	中证数据指数	44256	华夏基金	主题，新兴产业
AH500ETF	517100	0.801	-0.016	-0.0062	243.34	0.0595	-0.0825	-0.1415	-	-	4.13	0.006	中证沪港深500交易型开放式指数	44257	富国基金	宽基，大盘股
软件基金ETF	159899	0.727	-0.0055	-0.0014	213.61	0.046	-0.2513	-0.2597	-	-	1.26	0.006	软件指数	44375	招商基金	主题，新兴产业，软件
港股消费ETF	513230	0.903	-0.0055	0.0067	172.67	0.0649	-	-	-	-	0.603	0.006	HKC消费港元指数	44585	华夏基金	跨境，香港，消费
深创100ETF	159716	0.839	-0.0012	-0.0012	198.35	0.101	-0.1542	-0.1627	-	-	1.57	0.006	深创100指数	44375	华宝基金	主题，新兴产业，科技
消费电子ETF	561600	0.799	0.0063	0.0025	169.29	0.0076	-0.269	-	-	-	0.227	0.006	消费电子指数	44448	平安基金	主题，消费电子
消费电子ETF基金	159779	0.727	0.0041	0	226.11	0.0111	-0.273	-	-	-	0.751	0.006	消费电子指数	44526	招商基金	主题，消费电子
湖北ETF	159743	0.86	0	-0.0012	194.26	0.0617	-	-	-	-	0.594	0.006	湖北指数	44572	博时基金	主题，区域
消费ETF沪港深	517550	0.904	-0.0153	-0.0099	227.62	0.1011	-	-	-	-	0.337	0.006	SHS消费龙头人民币指数	44600	招商基金	跨境，香港，消费
沪深300添富ETF	515310	1.214	-0.009	-0.0049	78.9	0.0859	-0.0974	-0.1021	-	-	0.28	0.002	沪深300指数	43824	汇添富基金	宽基，大盘股
医药卫生ETF基金	512610	1.728	-0.0182	0.0117	63.58	0.1909	-0.1009	-0.2612	0.2468	0.1731	0.137	0.006	中证医药指数	41845	嘉实基金	行业，医药
央企ETF	159959	1.305	-0.0166	-0.0031	103.08	0.0423	-0.1031	0.039	0.2311	-	23.28	0.002	结构调整指数	43483	银华基金	主题，央企
上证50ETF基金	510680	2.883	-0.0187	-0.0021	62.87	0.0765	-0.0777	-0.1085	0.1958	0.435	0.269	0.006	上证50指数	41610	万家基金	宽基，大盘股
央视50ETF	159965	1.349	-0.0088	0.0015	78.68	0.063	-0.0823	-0.0965	0.32	-	0.917	0.006	央视50指数	43579	中融基金	主题，ESG
深证成指ETF	159943	1.297	-0.0114	0.0015	77.72	0.1104	-0.1225	-0.0963	0.5067	0.3904	0.868	0.006	深证成指	42193	大成基金	宽基，综合
金融ETF	159931	1.502	-0.0125	-0.0007	70.45	0.0496	-0.0946	-0.116	-0.1466	-0.0247	0.711	0.006	中证金融指数	41533	汇添富基金	行业，金融，房地产
超大盘ETF	510020	3.193	-0.0181	0.0019	131.94	0.0924	-0.0877	-0.1074	0.1122	0.2497	1.06	0.006	超大盘指数	40256	博时基金	宽基，大盘股
创业板ETF富国	159971	1.881	-0.0063	-0.0053	60.04	0.1345	-0.1576	-0.1703	0.7417	-	0.108	0.004	创业板R指数	43648	富国基金	宽基，中小盘
AIETF	159702	0.856	-0.0023	0.0023	92.77	0.0414	-0.2504	-0.2364	-	-	0.109	0.002	CS人工智能指数	44334	汇添富基金	主题，新兴产业，人工智能
东京证券指数ETF	513800	0.969	-0.0072	-0.0062	91.84	-0.0806	-0.1507	-0.1682	-0.0528	-	0.521	0.0025	东证指数	43641	南方基金	跨境，日本
红利低波ETF基金	515300	1.165	-0.0102	-0.0026	82.78	0.0201	-0.0194	0.0374	-	-	0.874	0.006	300红利LV指数	43727	嘉实基金	策略，红利，低波动
大数据产业ETF	516700	0.785	-0.0063	0	123.24	0.0523	-0.2594	-0.2452	-	-	0.312	0.006	中证数据指数	44335	华宝基金	主题，新兴产业
互联网ETF	159729	0.664	-0.0178	-0.0104	103.55	0.059	-0.2057	-	-	-	1.38	0.002	SHS互联网人民币指数	44398	汇添富基金	主题，新兴产业，互联网
沪港深ETF	517170	0.837	-0.0059	-0.0036	96.1	0.0582	-0.0882	-0.1554	-	-	0.33	0.006	沪港深500人民币指数	44306	华夏基金	宽基，大盘股
物联网50ETF	516260	0.786	-0.0025	0.0026	56.92	0.0142	-0.2376	-	-	-	1.21	0.006	CS物联网指数	44410	华夏基金	主题，物联网
物联网ETF招商	159701	0.766	-0.0026	0	96.47	0.0119	-0.2371	-	-	-	0.526	0.006	CS物联网指数	44553	招商基金	主题，物联网
新材料ETF基金	159763	0.947	-0.0227	-0.0104	81.86	0.1691	-0.0207	-	-	-	1.21	0.006	新材料指数	44452	建信基金	主题，新兴产业，新材料
香港消费ETF	513590	0.787	-0.0163	-0.0025	123.62	0.0465	-0.1047	-	-	-	0.368	0.006	HKC消费港元指数	44427	鹏华基金	跨境，香港，消费
沪港深科技ETF	517360	0.777	-0.0226	-0.0102	144.83	0.0528	-0.1395	-0.2063	-	-	0.724	0.006	SHS科技100人民币指数	44382	华安基金	主题，新兴产业，科技
医药创新ETF	560600	1.045	-0.0234	-0.0019	67.92	0.165	-	-	-	-	2.33	0.006	CS医药创新指数	44635	方正富邦基金	行业，医药
人工智能50ETF	517800	0.715	-0.0097	0.0014	60.35	0.0499	-0.2394	-	-	-	0.44	0.006	SHS人工智能50人民币指数	44434	方正富邦基金	主题，新兴产业，人工智能
文娱传媒ETF	516190	0.862	-0.0216	0.0012	93.21	0.0386	-0.2385	-	-	-	0.071	0.006	文娱传媒指数	44456	华夏基金	行业，TMT
长江保护主题ETF	517160	0.847	-0.0151	-0.0059	82.12	0.0548	-	-	-	-	19.27	0.002	长江保护指数	44566	南方基金	主题，环保
长江保护ETF	517330	0.853	-0.0104	-0.0023	109.32	0.0596	-	-	-	-	18.96	0.002	长江保护指数	44566	易方达基金	主题，环保
在线消费ETF	159728	0.753	-0.0131	-0.0013	121.03	0.0121	-	-	-	-	0.503	0.006	在线消费指数	44572	南方基金	主题，线上消费
工业互联ETF	159778	0.908	0.0033	-0.0044	136.03	0.0473	-	-	-	-	0.763	0.006	工业互联指数	44609	鹏华基金	主题，工业4.0，工业互联网
非周期ETF	510120	4.12	-0.0024	0.0108	8.5	0.1138	-0.0685	-0.0606	0.2997	0.4841	0.145	0.006	非周期指数	40702	海富通基金	行业，非周期
国寿300ETF	510380	1.198	-0.014	-0.0033	3.96	0.0871	-0.0972	-0.1119	0.204	-	24.78	0.006	沪深300指数	43138	国寿安保基金	宽基，大盘股
永赢沪深300ETF	515930	5.495	-0.0135	-0.002	14.92	0.087	-0.0892	-0.073	-	-	1.15	0.002	沪深300指数	43959	永赢基金	宽基，大盘股
兴业沪深300ETF	510370	0.934	-0.0074	-0.0011	13.26	0.095	-0.0861	-0.1287	-	-	0.109	0.006	沪深300指数	44131	兴业基金	宽基，大盘股
MSCIETF新华	512920	1.7	0	0.0095	1.04	0.1184	-0.0816	-0.0781	0.4003	-	0.113	0.006	MSCI中国A股国际指数	43441	新华基金	MSCI
四川ETF	159962	2.012	0.0025	0.0198	23.57	0.1354	-0.0451	0.2012	0.9162	-	0.405	0.0055	四川国改指数	43573	华夏基金	主题，国企，区域
周期ETF	510110	3.75	-0.0191	0.0008	4.53	0.0417	-0.0587	-0.0831	-0.0234	0.1596	0.21	0.006	上证周期指数	40497	海富通基金	行业，周期
方正中证500ETF	510550	1.571	-0.0107	-0.0013	9.17	0.0558	-0.1223	-0.0374	0.3462	-	0.242	0.006	中证500指数	43481	方正富邦基金	宽基，中小盘
景顺中证500ETF	159935	1.938	0.0005	-0.0041	4.17	0.0713	-0.1171	-0.0295	0.3863	0.1904	0.599	0.006	中证500指数	41660	景顺长城基金	宽基，中小盘
国寿500ETF	510560	1.424	-0.0125	-0.0021	0.9357	0.0603	-0.121	-0.03	0.3222	0.1099	2.42	0.006	中证500指数	42188	国寿安保基金	宽基，中小盘
中融中证500ETF	515550	1.356	-0.0015	0.0044	6.11	0.0711	-0.1067	-0.0102	-	-	0.229	0.004	中证500指数	43824	中融基金	宽基，中小盘
中银证券500ETF	515190	1.262	-0.0164	-0.0164	7.2	-0.0217	-0.1297	-0.0439	-	-	0.619	0.002	中证500指数	43978	中银证券	宽基，中小盘
兴业中证500ETF	510570	0.958	-0.0042	-0.0052	3.94	0.0413	-0.1154	-0.0382	-	-	0.099	0.006	中证500指数	44055	兴业基金	宽基，中小盘
永赢中证500ETF	159999	1.039	-0.0161	-0.0076	6.82	0.0506	-0.1239	-0.0415	-	-	0.494	0.002	中证500指数	44055	永赢基金	宽基，中小盘
180治理ETF	510010	1.41	-0.0256	-0.0035	3.63	0.0406	-0.055	-0.0375	0.1711	0.3202	2.36	0.006	180治理指数	40162	交银施罗德基金	主题，ESG
央调ETF	512960	1.216	-0.0209	-0.0073	44.64	0.0384	-0.1072	0.0236	0.2063	-	54.67	0.002	结构调整指数	43483	博时基金	主题，央企
H股ETF港股通	159960	0.722	-0.0217	-0.0041	23.95	0.03	-0.0412	-0.1963	-0.2183	-	4.08	0.006	恒生中国企业指数	43395	平安基金	跨境，香港，中概股
创业板ETF嘉实	159955	1.503	-0.0099	-0.006	43.27	0.1386	-0.1696	-0.1687	0.8043	-	0.166	0.006	创业板指	42970	嘉实基金	宽基，中小盘
创业板ETF建信	159956	1.664	-0.0089	-0.0119	10.18	0.1413	-0.1575	-0.1549	0.8866	-	0.923	0.006	创业板指	43166	建信基金	宽基，中小盘
中关村ETF	159951	0.908	-0.0173	0.0248	36.47	0.0758	-0.1115	-0.0819	0.1407	-	0.044	0.006	中关村A指数	42926	嘉实基金	主题，新兴产业
深100ETF方正富邦	159961	2.024	-0.0074	-0.0015	2.51	0.1133	-0.1169	-0.1336	0.5218	-	5.57	0.006	深证100指数	43453	方正富邦基金	宽基，大盘股
深F60ETF	159916	4.892	-0.0127	-0.0067	10.19	0.0794	-0.104	-0.1358	0.1842	0.5525	4.09	0.006	深证F60指数	40840	建信基金	策略，价值
中盘ETF	510130	5.641	0	0.0073	1.3	0.0662	-0.0783	-0.0109	0.3991	0.4915	2.29	0.006	上证中盘指数	40352	易方达基金	宽基，大盘股
10年国债ETF	511310	116.155	0	0	4.65	-0.0139	-0.0024	0.0326	0.1274	-	0.272	0.003	中证10年国债指数	43216	富国基金	债券，国债，利率债
杭州湾区ETF	512870	1.699	0.0012	0.0101	6.2	0.1156	-0.1247	-0.1318	0.48	-	0.507	0.006	杭州湾区指数	43518	南华基金	主题，区域，杭州
中证100ETF	159923	1.93	-0.0143	-0.0046	10.07	0.0824	-0.0918	-0.1302	0.1137	0.3347	0.207	0.006	中证100指数	41338	大成基金	宽基，大盘股
中银中证100ETF	515670	1.129	-0.014	0	16.03	0.0919	-0.0836	-0.1214	-	-	0.753	0.0054	中证100指数	43971	中银基金	宽基，大盘股
中证500深ETF	159932	1.692	-0.0186	-0.014	16.3	0.0496	-0.169	-0.0844	0.235	-0.0248	0.352	0.006	500深市指数	41568	大成基金	宽基，中小盘
ESGETF基金	510090	2.331	-0.0194	-0.0055	0.289	0.0397	-0.0866	-0.0328	0.3162	0.4514	0.735	0.006	责任指数	40399	建信基金	主题，ESG
平安MSCI低波ETF	512390	1.269	-0.0163	-0.0016	19	0.0646	-0.0635	-0.0737	0.346	-	2.77	0.006	MSCI中国A股低波指数	43294	平安基金	MSCI，策略，低波动
