名称	代码	最新价	日涨幅	溢价率	日均成交（万）	近一月	年初至今	近一年	近三年	近五年	规模（亿）	运作费率	跟踪指数	上市日期	基金公司	分类
高端装备ETF	516320	1.12	-0.0123	-0.0027	438.27	0.1302	-0.0865	0.0718	-	-	0.658	0.006	装备产业指数	44355	华夏基金	主题，装备制造
中证500成长ETF	560500	1.042	-0.0161	-0.001	453.03	0.0922	-0.0234	-	-	-	1.4	0.005	500质量指数	44440	鹏扬基金	策略，价值，成长
光伏ETF基金	159863	1.108	-0.0063	0.0009	3116.03	0.194	0.01	0.3403	-	-	2.75	0.006	光伏产业指数	44266	鹏华基金	主题，光伏，新兴产业
科创龙头ETF	588150	0.774	0.0052	-0.0039	589.34	0.0198	-0.2086	-	-	-	1.08	0.006	科创50指数	44550	南方基金	宽基，中小盘
计算机ETF	159998	0.809	-0.011	-0.0012	1196.51	0.0561	-0.2605	-0.2751	-	-	18.78	0.006	CS计算机指数	43934	天弘基金	行业，计算机
A50ETF基金	512550	1.52	-0.0155	-0.0007	1412.42	0.0959	-0.0582	-0.1137	0.2656	-	3.07	0.006	富时中国A50指数	42954	嘉实基金	宽基，大盘股
浙江国资ETF	515760	1.079	-0.0164	0	70.7	0.0517	-0.1023	-0.0682	-	-	2.26	0.005	浙江国资指数	44116	华夏基金	主题，区域，浙江
500ETF增强	159610	0.884	-0.0134	0.0011	11654.44	0.0536	-	-	-	-	8.45	0.006	中证500指数	44571	景顺长城基金	宽基，中小盘
信息科技ETF	512330	0.888	-0.0078	-0.0056	310.26	0.0314	-0.2575	-0.2	0.1715	0.1031	5.09	0.006	500信息指数	42205	南方基金	行业，信息技术
500成长ETF	515510	1.493	-0.0178	0.0007	45.03	0.0749	-0.0527	0.0559	-	-	0.151	0.006	500成长估值指数	43957	嘉实基金	策略，成长，价值
有色ETF基金	516680	1.114	-0.0202	0	531.74	0.1185	-0.008	0.1391	-	-	0.317	0.006	细分有色全收益指数	44263	建信基金	行业，资源，有色金属
银行龙头ETF	515280	1.151	-0.012	0.0009	2120.56	0.0304	-0.0171	-0.0923	-	-	0.795	0.006	中证银行指数	43938	富国基金	行业，金融，银行
创新药50ETF	159835	0.872	-0.0136	0.0011	274.74	0.2061	-0.1047	-0.2358	-	-	0.638	0.006	CS创新药指数	44284	建信基金	行业，医药
影视ETF	516620	0.899	-0.0249	-0.0022	1940.74	-0.0077	-0.3036	-	-	-	0.33	0.006	中证影视指数	44505	国泰基金	主题，TMT，影视
中小300ETF	159907	1.782	-0.0122	-0.01	7.17	0.0813	-0.1235	-0.0536	0.5013	0.2479	0.995	0.006	中小300指数	40765	广发基金	宽基，中小盘
